job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
Data Analyst - ElasticSearch,GeoComply,"Vancouver, BC","Experience in optimizing data, reduce data, aggregate data.
Experience in data preparation, data analysis, data cleaning, data transformation from multiple…",,Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=03e37289e752f59c&fccid=894f7f8c2128ec00&vjs=3
Junior Business Analyst,Norsat International Inc.,"Richmond, BC","Develop and monitor data quality metrics and ensure business data and reporting needs are met.
Interpret, evaluate, and interrelate research data and develop…",,Posted8 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=820d6e34e851efa7&fccid=53f485401ace992f&vjs=3
Recreation and Sport Analyst,The City of Vancouver,"Remote in Vancouver, BC","Key responsibilities include conducting, reporting, making recommendations and presenting on various types of research and analysis, such as gap and data…",,Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=26d4a1b13495495e&fccid=3d91f889655d303e&vjs=3
"Data Analyst, Plan Administrator",Bilsland Griffith Benefit Administrators,"Burnaby, BC","Our team is made up of consultants, data analysts, pension and benefit administrators, accountants and support staff, focussing on making sure that Plan members…",,Posted3 days ago,2022-07-01,https://ca.indeed.com/company/Bilsland-Griffith-Benefit-Administrators/jobs/Data-Analyst-f2177f79851d6e89?fccid=0ebd725855684ae2&vjs=3
Senior Fire Data Analyst,The City of Vancouver,"Vancouver, BC",The Senior Fire Data Analyst is responsible for data modeling and data integration work related to the design and delivery of analytic data visualizations for…,"$89,283 a year",Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=a41ccaa24421446b&fccid=3d91f889655d303e&vjs=3
"Supply Chain - Analyst, Supply Chain Operations",Aritzia,"New Westminster, BC","Proven skills, education, and/or applicable certifications in data analytics.
The mission of Supply Chain Operations Department is to be the planning and…",,Posted8 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=81c38cd70afacd00&fccid=230bf53df7c46c1a&vjs=3
Marketing Data Analyst,Oppy,"Hybrid remote in Coquitlam, BC","*Schooled.* Your degree or diploma in marketing will give you a foundation to build your experience.
Complete timely analyses for sales, business development,…",,Posted3 days ago,2022-07-01,https://ca.indeed.com/company/The-Oppenheimer-Group/jobs/Marketing-Data-Analyst-6ed7008b1d9ee600?fccid=abd81d8a028da6aa&vjs=3
"Data Analyst, Courthouse Jury",Tyler Technologies,"Vancouver, BC","Previous experience in analyzing data.
Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.",,Posted25 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=d1762e750f9e964a&fccid=35fa439a19059a40&vjs=3
data analyst - informatics and systems,Quantasphere Business Solutions Inc.,"Remote in Burnaby, BC","Research and document data requirements, data collection and administration policy, and data access rules.
Operate database management systems to analyze data.",$38 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ba2d4581ea242860&fccid=4a325899619d1242&vjs=3
"Data Analyst, Marketing",Bench Accounting,"Remote in Vancouver, BC",Having a strong understanding of our business metrics and how data can be used to support strategic decision making in marketing.,"$72,720–$90,900 a year",Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ac8e86810d3de7b7&fccid=8050ea68bc1f1986&vjs=3
"Data Analyst, Courthouse Jury",Tyler Technologies,"Vancouver, BC","Previous experience in analyzing data.
Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.",,Posted25 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=d1762e750f9e964a&fccid=35fa439a19059a40&vjs=3
